id,run,epoch,step,lr,dataset,perplexity
0,1,1,0,1.0,validation,9999.895295759517
0,1,1,0,1.0,test,9999.860987398315
0,1,2,1317,1.0,validation,1035.4161825529586
0,1,2,1317,1.0,test,988.0592051154442
0,1,3,2639,1.0,validation,902.8061565098686
0,1,3,2639,1.0,test,877.5292099129415
0,1,4,3948,1.0,validation,362.1797836334037
0,1,4,3948,1.0,test,343.9910371833278
0,1,5,5261,1.0,validation,2356.858494734086
0,1,5,5261,1.0,test,2196.3694563868144
0,1,6,6598,0.8,validation,13850.266984587359
0,1,6,6598,0.8,test,10970.983913301834
0,1,7,7910,0.6400000000000001,validation,15188.331596764483
0,1,7,7910,0.6400000000000001,test,11273.25050679504
